step,objective,rmse,chi2,reduced_chi2,rmse_linear,rho,dx_norm,dx_rel,cond_A,lambda,accepted,vcd_o2_intercept,vcd_o2_slope,vcd_h2o_intercept,vcd_h2o_slope,p_o2_hpa,t_o2_k,p_h2o_hpa,t_h2o_k,vcd_o2_sif,vcd_h2o_sif,sif_ev1,legendre_p0,legendre_p1,legendre_p2,legendre_p3
0,67915.51364062316,0.6948861708215361,135831.02728124632,1997.5151070771517,NaN,NaN,0.0,NaN,NaN,1.0,true,3.981071705534985e24,0.0,3.981071705534969e22,0.0,700.0,280.0,700.0,280.0,1.9905358527674926e24,1.9905358527674846e22,0.0,22.318708564481156,-7.33662982433351,0.0,0.0
1,1.7374935885917293,0.20461504193913144,11448.537603253973,168.3608471066761,0.05286298484487159,0.9186105496836972,6.267736207547512e24,1.4081015927414062,940961.4581190092,17.5,true,8.727191372262612e24,4.0933639713780823e24,9.536927910911428e22,-1.2244203105009176e22,953.8741442065404,274.8532679421102,389.52615231775314,289.696254946596,1.9905358527674926e24,1.9905358527674846e22,0.013702653954948638,22.666636557267505,-6.979664676290147,0.46774253412190453,0.15681539655879423
2,0.12282658670786024,0.054402911577793436,803.4656599882453,11.815671470415372,0.04151376768728764,0.9692037099474231,4.7214457135622626e24,0.4796588337491128,1.3579441412078924e6,12.25,true,9.782517716555594e24,-5.0042629741106905e23,1.1874394670314734e23,-6.094344343257485e21,805.5263303939624,279.36166506744934,496.4156740814154,278.82847959565584,2.2641093166129423e24,1.939197128866657e22,0.01036858155307009,22.742012959621686,-6.9609499879510475,0.412752921121004,0.10324923002288194
3,0.08193155241232408,0.044432581232646845,503.49029806738065,7.404269089226186,0.041432414910490004,0.7927572945117672,2.865322655386821e24,0.28498503041720413,1.9530985246695122e6,8.575,true,8.381358548093324e24,-2.960326859438721e24,1.1823637741352713e23,-6.646055860680918e21,887.1668721438699,277.8060764338394,513.4656027464112,280.2323628570446,2.706506816445579e24,1.9253505431186597e22,0.010115917141805568,22.743037683312533,-6.964077697275239,0.4122419411054815,0.1057781826256518
4,0.07079546865601755,0.041302722759812296,425.1023620298148,6.251505323967865,0.04130030317516054,0.9992557325356931,5.2218341946735285e23,0.056194162442484916,2.776032373656638e6,6.0024999999999995,true,8.563935096711024e24,-2.501170733067279e24,1.1959271441220834e23,-5.987506422670641e21,903.9168023693707,278.52395110964983,502.7929508128478,279.96806342099023,2.5376441586675333e24,1.892403956593972e22,0.010006673622355688,22.747340201592966,-6.962330496544715,0.408563158930047,0.10215539516812103
5,0.07009586370339636,0.041098138117296096,420.7158186310048,6.186997332808894,0.041065264845643545,0.8619055443134834,1.4111411806234033e24,0.15212201410094836,3.97423898496409e6,4.20175,true,8.005783051722771e24,-3.747429372778739e24,1.2090634057060252e23,-5.408602046411573e21,935.2107144462825,279.52240756162365,492.6004314939199,279.3573764434614,2.8934853429543225e24,1.8577495773040062e22,0.00983234766503826,22.751238009947894,-6.961496112074736,0.40533802216811027,0.09962811392487152
6,0.06945913005245156,0.040911049573037206,416.8184691289862,6.129683369543915,0.040880663666138094,0.8605971353885628,1.508344975004835e24,0.16215666262009495,5.6572689452139065e6,2.9412249999999998,true,7.458187570351449e24,-5.144672704383672e24,1.2190178422932506e23,-4.905850060944819e21,971.4902478133599,281.30982445491577,485.1099884454005,278.8828932460098,3.044988909958087e24,1.8077288722892409e22,0.009733286609319889,22.753989375486608,-6.9606282347674515,0.40296514483403556,0.09756969971589272
7,0.06898455800845249,0.04077104985437303,413.9066625486779,6.086862684539381,0.040693968987505186,0.6455296612886501,1.8492184185532802e24,0.19344793104472094,8.067361343587557e6,2.0588575,true,6.760336647868224e24,-6.835883213002545e24,1.2263577456263479e23,-4.5296647836476915e21,1024.6074627637195,283.9162091239651,479.71496452924436,278.4941251494746,3.3140961629568334e24,1.7390870923993024e22,0.009680930752607744,22.75584153983273,-6.95995924756338,0.4014080512505652,0.09597971667959568
