step,objective,rmse,rmse_linear,rho,dx_norm,cond_A,lambda,accepted,vcd_o2_intercept,vcd_o2_slope,vcd_h2o_intercept,vcd_h2o_slope,p_o2_hpa,t_o2_k,p_h2o_hpa,t_h2o_k,vcd_o2_sif,vcd_h2o_sif,continuum_scale,sif_ev1,sif_ev2,legendre_p0,legendre_p1,legendre_p2,legendre_p3
0,2.5443417595307517e8,24.760743120652258,NaN,NaN,0.0,NaN,1.0,true,3.981071705534985e24,0.0,3.981071705534969e22,0.0,700.0,280.0,700.0,280.0,1.9905358527674926e24,1.9905358527674846e22,25.476236475578403,0.0,0.0,2.3408518763830948,-0.27609709113090064,0.0,0.0
1,2098.832796583089,7.111559903074303,6.030885682089468,0.9753734346781358,4.535156919120846e21,42693.75908513571,6.8359375e6,true,3.976681948549624e24,1.1389152480780485e21,3.9833851771278456e22,4.328179208285986e18,609.8558463686818,281.4856982655254,699.9973037276754,279.9993504857444,1.9905358527674926e24,1.9905358527674846e22,11.479823700953284,1.791134095847091,12.721298015449852,2.6112031726675977,-0.24420989346551858,-0.2263456960267125,0.1722922668406016
2,1589.1585480406968,6.188131952473348,6.10979019922173,0.9272586549457551,1.885935529759192e21,43894.753660612245,4.78515625e6,true,3.9776707522479216e24,9.38597745717058e20,3.981538256093872e22,1.224814833815016e18,597.6215200181736,281.2694527727982,699.9990971137203,279.99965466704555,1.988942574446015e24,1.9902825822159255e22,14.454903471058135,2.634906136665191,12.34915350535657,2.148448337546762,-0.2643666124917226,-0.3119127713888501,0.34050488230814424
3,1390.0077227039174,5.78741410241789,5.813734687492078,1.0679540071400175,1.4600212391469462e21,49690.27588110453,3.349609375e6,true,3.9763381459912646e24,1.2477284861462457e21,3.982902001065604e22,3.6375395373829596e18,552.462197393726,282.13802222463715,699.9979242053512,279.99939670227565,1.988432622971105e24,1.989852922324939e22,17.717287336928642,0.732788468390632,14.798382956507977,1.9067799061304402,-0.2507606355379508,-0.4201037662010551,0.37304528354992894
4,847.2529730929465,4.518377395857533,5.282406472523872,2.339467490361313,1.7523329967065832e21,76006.60994800014,2.3447265625e6,true,3.974611648768432e24,1.5356234601500456e21,3.985342574040282e22,7.904469820920023e18,463.071605264617,283.7191969767728,699.9960730835998,279.99903143599033,1.98835331019383e24,1.9889021759680026e22,20.137755935985055,-1.805585453415801,17.293891886391776,1.7811355615966022,-0.23141055937302918,-0.48789842794384897,0.36671075649011226
5,804.6883562985879,4.403416954441718,4.399232524499672,0.9653322316664418,1.3523792768204698e21,136514.64855065497,1.64130859375e6,true,3.973625901535328e24,1.2807299365329256e21,3.987401200690409e22,1.1708063640497138e19,451.561233875421,282.53106448498335,699.9942609962953,279.9986150979719,1.989243097302943e24,1.987892071115504e22,18.220579028457582,-1.0144737876045489,14.876848027161659,1.871458470497516,-0.214463112612268,-0.4626890651572928,0.3106896550351106
6,795.2371623946389,4.377481155016137,4.376911359332142,0.978566314435208,3.745622900081155e21,198973.36418006854,1.148916015625e6,true,3.9700610201677107e24,2.3053729490264434e21,3.990005133794713e22,1.6424652094128155e19,447.4472388872862,280.2671880318012,699.9918830045106,279.9980803290978,1.9887228609087095e24,1.987042115096881e22,17.259159632573546,-1.1700934511723569,14.388450819662307,1.9938908448454162,-0.20220177199212258,-0.49822117065170124,0.3085810331224868
7,777.6385042676798,4.328773176232429,4.338647395308234,1.25284802351728,5.938992593506008e21,227076.17912103253,804241.2109375,true,3.964335043312639e24,3.7763801480566407e21,3.994854833184012e22,2.50991716084788e19,439.9625567877864,277.05641014189433,699.9879814040872,279.9972167393577,1.9881588387944518e24,1.985012952149175e22,17.043508234276427,-1.4585255685229686,14.4176363487914,2.0430882394052503,-0.18283169647390304,-0.5301894232172031,0.296801432555406
